HB9IRF Gerhard
HB9JBP Markus
HB9JOE Andy
HB9KOE Jakob
HB9KOG Robert
HB9MKV Rudi
HB9NW Renato
HB9PMF Hansjoerg
HB9RDD Christian
HB9RVS David
HB9SOA Wilhelm
HB9TNF Guido
HB9TQG Andreas
HB9TU Albi
HB9TVK Peter
HB9WG Erich
HB9XJ Hans
HB9ZAP Edwin
HG7WAV Viktor
I0KHY Claudio
I2CZQ Pietro
I2ZBX Guiseppe
I3VAD Giancarlo
IK1ILK Diano
IK2ILH Mau
IK2ILK Diano
IK3DRO Gino
IK3GER Paolo
IK5FYA Rnzo
IN3NJB Roberto
IZ0MII Giovanni
K4MF Gary
K4YA Myron
KG3W Scott
KO1U Mark
LA1ENA Aage
LA3NGA Henning
LA8BCA Terje
LA8WF Jon
LX1NO Norby
LY2FN Rick
LZ1GJ Jany
LZ3SM Svetly
LZ4GL George
M0BKV Damian
M0IML Barry
M0NTC Gez
M0SCH Erik
M0XSD Colin
M3BBF John
M3FEH Karl
M6EPW Liz
M6RUG Dave
MM0DHY Adrian
MM0DNX Dennis
MM0FMF Andy
MW0BBU Steve
N1EU Barry
N1GB George
N4EX Rich
N4NX Rich
N7CW Warren
N7UN Guy
OE1MVA Martin
OE3CHC Christian
OE3KAB Karl
OE5AUL Peter
OE5CCN Christian
OE5EIN Max
OE5FSL Franz
OE5HDN Heinz
OE5REO Martin
OE5YYN Sylvia
OE6GND Gerhard
OE6SMF Martin
OE6WIG Franz
OE7FMH Franz
OE7PHI Hansjoerg
OE8SPW Paul
OH2BAD Miika
OH2NOS Saku
OH3GZ Jukka
OH3T Toni
OH9XX Marko
OK1ACF Zdenku
OK1AOV Jiri
OK1APV Antonin
OK1AU Stan
OK1AWH Bohuslav
OK1AXB Josef
OK1AY Josef
OK1CZ Petre
OK1DDQ Jirka
OK1DPU Jan
OK1DVM Miro
OK1GT Jiri
OK1HCG Karel
OK1HRA Dan
OK1IF Milan
OK1KT Vrata
OK1KW Karel
OK1LV Ladi
OK1MLP Karel
OK1PFM Petr
OK1SDE Borek
OK1TBG Milan
OK1ZE Vaclav
OK2PDT Jan
OK2QA Ruda
OK2TO Miro
OK3QE Eva
OK4IT Richard
OK8JOE Andreas (Andy)
OM1AX Vlado
OM1WS Jakub
OM3TBG Milan
OM5DP Martin
OM7DX Stefan
OM7OM Milan
OM7PY Erwin
ON3ND JEAN JEAQUES
ON3WAB Peter
ON4BB Luk
ON4CAP Andre
ON4CAS Egbert
ON4CMT Rudy
ON4FI Karel
ON4ON Danny
ON5QRP Frank
ON6NW Walter
ON6UU Frank
ON6ZQ Chris
ON7DQ Luc
ON7PQ Pat
OZ4RT John
PA0ABM Wino
PA0ALW Walter
PA0B Rob
PA0FAW Fred
PA0FBI Piet
PA0HRM Hans
PA0INA Frans
PA0LPE Bert
PA0RBA Rien
PA0RDY Rob
PA0SKP Sake
PA0WLB William
PA0XAW Age
PA1AT Gerard
PA1BR Pascal
PA1IJF Rens
PA2CVD Cor
PA2LO Gert
PA2NJC Nick
